RegionID,FiveYearHomeCost,FiveYearRentCost,BetterOption
394523,81374.00434762189,0.0,Rent
394524,38750.601544483434,0.0,Rent
394528,131405.01068156926,135193.40707098733,Buy
394530,223539.918459103,136502.68323258733,Rent
394531,103357.16978124384,83912.8145934058,Rent
394532,94625.79212752263,101261.53033979684,Buy
394537,63911.07283301988,0.0,Rent
394539,127775.8723544885,112581.95744545497,Rent
394542,91564.51677381474,0.0,Rent
394543,88879.47788987543,0.0,Rent
394549,154629.76653431155,118203.25062014851,Rent
394551,73510.77017883895,0.0,Rent
394553,115894.93056142518,136851.9250173387,Buy
394555,112677.79118918155,0.0,Rent
394559,126194.27176099939,0.0,Rent
394561,78312.88522542422,107353.60178766683,Buy
394563,82976.76267791392,0.0,Rent
394565,89094.83223393004,0.0,Rent
394568,52457.74614886277,0.0,Rent
394570,45505.17655468324,0.0,Rent
394572,69705.89320455785,0.0,Rent
394576,172334.1994428828,124714.64028201356,Rent
394579,75077.06014806096,67770.14793631854,Rent
394580,106803.34287692395,0.0,Rent
394585,109909.27736558452,0.0,Rent
394588,85563.03766236718,0.0,Rent
394589,86780.79479833743,101462.91208444895,Buy
394590,128895.18791275997,109981.28080073433,Rent
394595,231144.16342671646,0.0,Rent
394596,69327.42576996356,67646.3536669603,Rent
394597,64590.86036521653,0.0,Rent
394598,71955.43180528423,0.0,Rent
394599,93907.39457820891,0.0,Rent
394602,208213.27666053528,130956.43315605375,Rent
394609,69523.78695686918,0.0,Rent
394612,89082.0235592056,86123.95920909563,Rent
394619,148004.53341612974,144759.3998963679,Rent
394620,61895.222033230886,0.0,Rent
394622,113183.97420964466,114993.48087273695,Buy
394623,143075.09385333394,123471.6326403291,Rent
394630,111822.7763053371,0.0,Rent
394633,103876.45313965541,0.0,Rent
394635,64554.36215800415,0.0,Rent
394637,86192.61120570061,0.0,Rent
394638,89422.23762410933,0.0,Rent
394639,153704.4592965308,116530.51769867072,Rent
394640,124100.81569256124,109476.29943863857,Rent
394641,148656.46413926384,0.0,Rent
394644,112698.55364338345,0.0,Rent
394645,191759.9825872569,0.0,Rent
394646,114855.94838532871,0.0,Rent
394648,93379.3458179824,101608.7774099087,Buy
394651,86543.99275604957,103351.51256737785,Buy
394653,111968.97633525981,107382.61004312591,Rent
394658,77886.72432173886,98320.08710161416,Buy
394660,110529.08456884928,104766.25463205103,Rent
394661,77153.75383146088,0.0,Rent
394662,128468.81335416445,0.0,Rent
394666,102253.36466960431,97789.71154414403,Rent
394668,117812.4422005966,0.0,Rent
394669,126684.51798780261,125735.79952531471,Rent
394671,72118.9609933347,0.0,Rent
394675,168878.42935170518,0.0,Rent
394679,95495.79078634952,0.0,Rent
394681,185189.34886963986,159311.01401596877,Rent
394682,87068.83549213386,109209.60382392199,Buy
394685,108920.44270055968,0.0,Rent
394689,89224.06056302215,0.0,Rent
394691,61834.508023202834,0.0,Rent
394692,114537.27066138346,112102.08030196263,Rent
394697,51370.5428065574,0.0,Rent
394698,116139.43184301458,104928.7003931932,Rent
394703,158283.76901837936,98260.90847459785,Rent
394705,105933.25928482905,105518.80037209182,Rent
394707,100741.74600173328,0.0,Rent
394709,118608.5069252635,0.0,Rent
394710,78455.87318431276,0.0,Rent
394711,71485.05481019407,0.0,Rent
394712,74155.86413400358,0.0,Rent
394714,136325.7541418475,123219.41220806401,Rent
394716,98337.36302036686,103670.2195455738,Buy
394720,98278.35841245465,0.0,Rent
394723,90733.254155753,0.0,Rent
394726,97993.34818156353,0.0,Rent
394727,46622.34224148631,0.0,Rent
394728,71429.40282546543,0.0,Rent
394729,78795.10166955364,0.0,Rent
394731,385245.00057026534,0.0,Rent
394732,96925.88300842632,86564.74520634576,Rent
394734,73697.91974590326,0.0,Rent
394735,115050.46178824753,100023.42888947263,Rent
394741,166148.04928399713,120191.58255982987,Rent
394746,96603.72838437556,95092.23690689723,Rent
394747,83112.14247443994,0.0,Rent
394748,151343.64532108523,0.0,Rent
394753,127824.87311124586,127552.13451596048,Rent
394755,62699.987122314276,0.0,Rent
394756,112398.55108499929,0.0,Rent
394761,66922.51287892043,0.0,Rent
394763,0.0,0.0,Rent
394765,135699.1412449282,111333.1978023888,Rent
394766,118982.6164132297,135193.14533241047,Buy
394768,128635.42849428036,97296.99246114853,Rent
394770,85350.55406029946,86611.95070852902,Buy
394772,74404.11683815368,0.0,Rent
394773,101868.57662629854,100085.5626395919,Rent
394775,162063.92585123432,128767.92377279646,Rent
394778,115850.68439459418,0.0,Rent
394780,48489.54248285607,74047.7231013,Buy
394783,103573.86642677264,0.0,Rent
394787,133629.80784969046,0.0,Rent
394788,118711.55891163634,0.0,Rent
394792,109161.12097327219,95568.68960984495,Rent
394794,63744.50842402059,0.0,Rent
394796,104878.02107335228,0.0,Rent
394798,77871.2613226129,83069.11465582371,Buy
394800,176815.4583496876,0.0,Rent
394803,77521.76313314328,0.0,Rent
394804,161907.83417919787,0.0,Rent
394807,94600.26493741886,90429.29813644761,Rent
394808,76480.99402130801,91565.80189574603,Buy
